timestamp,acc_x,acc_y,acc_z
1523256461293,-1.1779473,-15.2097645,-3.0071173
1523256461322,2.8874073,-13.5457945,-0.18734628
1523256461340,2.5570073,-13.013683,-5.139154
1523256461367,-0.31783026,-12.059594,-4.369418
1523256461393,-1.091756,-9.864111,0.3405752
1523256461419,3.4129345,-8.962694,-0.86490536
1523256461447,3.6212301,-7.4375877,0.8355764
1523256461472,4.4484267,-4.4184995,-0.86610246
1523256461498,3.6535518,-4.2754455,-1.5155296
1523256461522,2.1086931,-4.068946,-2.460641
1523256461547,0.81402856,-2.747945,-3.2136173
1523256461572,2.6982653,-0.7954735,-2.4366987
1523256461597,6.0597243,-2.3678656,-3.2070332
1523256461622,6.4386067,-2.7910407,-2.7455509
1523256461650,6.793547,-4.485537,-0.40043023
1523256461677,2.9921536,-6.339846,-5.34326
1523256461705,4.0120835,-19.6133,-3.3800142
1523256461730,5.241506,-14.942213,-1.1492168
1523256461754,0.52971715,-7.187992,-1.3192052
1523256461779,-1.6106992,-9.5570545,-0.39803603
1523256461805,0.026934769,-13.772645,0.31364042
1523256461830,4.3041763,-13.820529,0.23104046
1523256461855,4.8739963,-9.633071,0.5291186
1523256461880,3.8630445,-6.7187285,0.47046062
1523256461906,2.8060043,-6.9886746,0.14903906
1523256461936,2.2343888,-7.2867527,-0.08559271
1523256461949,1.2042835,-7.2490444,-0.6835446
1523256461973,0.6242881,-6.7133417,-1.934515
1523256462000,0.748188,-6.4787097,-0.8050503
1523256462029,2.0266917,-7.229292,-0.022146367
1523256462056,2.6168625,-7.5213847,-0.007182605
1523256462080,3.6984432,-8.844181,-0.75956047
1523256462106,3.7421372,-11.649587,-1.894412
1523256462130,2.9167361,-14.044986,-3.5847185
1523256462155,1.9303252,-15.455171,-2.9460652
1523256462180,0.41718966,-16.533758,-3.1603463
1523256462203,-1.9722236,-15.450382,-7.33763
1523256462236,1.477821,-12.81676,-5.872977
1523256462269,5.57849,-12.655151,-2.3247697
1523256462316,3.217807,-12.549807,-2.919729
1523256462347,0.86370826,-11.679515,-3.2387564
1523256462374,1.3880384,-10.283096,-3.482965
1523256462379,2.2349873,-9.661202,-7.264008
1523256462389,-3.5643678,-4.3101616,0.8948329
1523256462410,0.01436521,-5.2079873,-0.6859388
1523256462435,2.8886044,-7.3950906,-3.328539
1523256462457,2.8203697,-4.43885,-1.8369513
1523256462486,3.3207579,-2.8119898,-2.4540567
