timestamp,gyro_x,gyro_y,gyro_z
1523293279092,-1.9960393,-1.7251958,-2.248507
1523293279101,-1.5044197,-2.722816,-1.8117485
1523293279139,-0.89642006,-2.6237464,-1.0394318
1523293279149,-0.22077605,-2.172607,-0.4644553
1523293279188,0.38615838,-1.419465,0.08468852
1523293279195,1.4173343,-0.7861652,0.68203557
1523293279261,2.6282737,-0.7025419,0.7318367
1523293279270,1.0599382,-0.056459017,0.17097494
1523293279308,-0.09081379,-1.427987,-0.9387643
1523293279315,-0.027963191,-0.8452873,-1.2154667
1523293279357,0.6151902,-0.74302197,-0.9158611
1523293279365,-0.37790257,1.310808,-0.45460162
1523293279403,0.15313177,1.4168017,0.60560286
1523293279412,-0.33848777,0.42397526,0.21944448
1523293279450,-0.44900897,2.2540996,1.0687265
1523293279457,1.9033613,5.0653324,1.4498249
1523293279520,1.259409,0.91133374,2.078331
1523293279527,1.1837751,0.47510794,1.2926984
1523293279534,1.5057513,0.9736517,1.2040151
1523293279573,1.4351776,1.3182647,1.7765948
1523293279578,1.4919028,1.077515,1.8588865
1523293279620,1.68152,1.0221212,1.5419703
1523293279625,1.5875103,1.139833,1.5182681
1523293279666,1.4737934,0.79681784,1.6010925
1523293279672,1.649562,0.2796319,1.6263925
1523293279732,1.4524881,0.31052458,1.4916365
1523293279738,0.69748193,0.69668293,0.76912093
1523293279787,0.5944176,0.8447547,0.62557656
1523293279792,0.016511599,0.46711847,1.0133328
1523293279834,-0.17976338,0.37923414,0.8673916
1523293279837,-0.63702816,0.8005462,-0.25646242
1523293279879,-1.6570189,0.8926916,-0.9291769
1523293279884,-2.2815301,0.29827404,-1.6306536
1523293279946,-1.6828516,-0.81439465,-2.202168
1523293279950,-2.1161478,-2.1497037,-2.5840652
1523293279988,-2.7694213,-0.95447695,-2.5023062
1523293280008,-2.7276096,-0.396811,-2.1813953
1523293280058,-2.4900556,0.51931643,-1.9616845
1523293280064,-1.9760655,-0.099069595,-2.3363912
1523293280069,-1.5480956,-1.3864417,-2.55264
1523293280111,-1.2263857,-2.7419908,-2.1640847
1523293280115,-0.7209177,-2.7718182,-1.3483585
1523293280123,-0.26977822,-2.0554278,-0.8072041
1523293280162,0.06338324,-1.8397117,-0.23755397
1523293280174,0.8181231,-1.5488945,0.34967306
1523293280213,2.1672804,-0.80107886,0.80134517
1523293280223,2.4876587,-0.21891184,0.70493877
1523293280286,0.67058396,0.5816344,-0.023702133
1523293280291,-0.020772656,-1.427987,-0.85301054
1523293280332,0.32037827,-0.6103965,-1.3499564
1523293280338,0.7435546,-0.892159,-0.49960902
1523293280383,-0.18908444,2.251969,0.021837922
1523293280389,1.4508902,0.5118596,1.7736653
1523293280429,-0.4079963,-0.034621093,-0.18429075
1523293280436,-0.16192019,3.0013826,0.6412892
1523293280478,2.415487,4.6669235,1.2506205
1523293280499,1.2141352,0.09427591,2.1435783
1523293280567,1.1470236,0.31957933,1.417068
1523293280572,1.5587482,0.9827065,1.202151
1523293280576,1.6122777,1.4732608,1.5334482
1523293280621,1.6711336,1.2543489,1.3406353
1523293280626,1.6692694,1.3246564,1.220793
1523293280664,1.6631441,1.2373047,1.2391689
1523293280673,1.5531555,0.47137952,1.3222595
1523293280709,1.5195998,0.14966966,1.4138722
1523293280712,0.5733786,0.6173208,1.1251856
1523293280767,0.6599313,0.86606,0.76565886
1523293280773,0.040213734,0.57364494,0.932639
1523293280816,-0.040746365,0.18961707,0.92092115
1523293280821,-0.5603291,0.61572284,-0.21944448
1523293280863,-1.2439625,0.7185209,-1.031176
1523293280871,-2.144111,0.2066613,-1.8801918
1523293280911,-1.562743,-0.8724516,-2.5547705
1523293280918,-2.328668,-1.4040185,-2.417085
1523293280972,-2.8692899,-0.78936094,-2.5859294
1523293280978,-2.8708878,-0.4612595,-2.459962
1523293280985,-2.646916,0.7036072,-2.303368
1523293281038,-2.0977721,-0.33768883,-2.5790052
1523293281044,-1.769138,-1.6634104,-2.6245453
1523293281099,-1.511344,-2.9603698,-2.196309
1523293281106,-1.0391655,-3.0924628,-1.3148026
1523293281109,-0.5289038,-2.505502,-0.6213155
1523293281150,0.09960223,-2.095908,0.034621093
1523293281156,1.096956,-1.3065468,0.6383597
1523293281199,2.1797974,-0.79628515,0.7861652
1523293281203,1.5933694,0.42557314,0.19307919
1523293281300,0.6111955,-0.7121293,-0.29667616
1523293281308,0.3054646,-0.7254451,-0.22423817
1523293281313,0.84368944,-1.087635,-0.73130405
1523293281333,-0.26205507,1.0199907,-0.9800433
1523293281395,0.7355651,2.604039,-0.23116238
1523293281402,-0.096939065,-1.2362394,0.8085357
1523293281408,-0.24367924,3.3364084,1.412008
1523293281414,1.4713966,3.6511939,1.938515
1523293281481,1.2255868,0.6498113,2.02853
