timestamp,lin_acc_x,lin_acc_y,lin_acc_z
1523292627788,-0.5902709,-0.9925184,1.8724499
1523292627848,-0.32402837,-1.3074346,2.4527702
1523292627855,-1.1951238,-0.35870004,1.3781033
1523292627876,-1.7893757,0.27599573,-0.60630226
1523292627922,-1.3948922,0.10958171,-1.3011222
1523292627926,-0.47785866,-0.81703687,-0.82874584
1523292627932,-0.064863384,-1.174963,0.36534786
1523292627979,-0.07298607,-1.1933141,0.75392914
1523292627988,-0.11560519,-0.9293208,-0.29550552
1523292628036,-0.10096574,-0.5104923,-1.7769384
1523292628043,0.036028087,-0.7518189,-1.9852033
1523292628060,0.0691843,-0.3329594,-1.5780759
1523292628106,-0.35294592,-0.40109658,-0.4261484
1523292628127,-0.27582175,0.09924364,0.121920586
1523292628142,-0.020861447,0.043797493,-0.12637424
1523292628189,-0.1623865,0.28821015,0.22718716
1523292628194,-0.34225813,0.19472933,1.1111355
1523292628203,-0.46804708,-0.40720415,1.9096689
1523292628263,0.105968475,-0.43227792,2.0826416
1523292628270,-0.13874859,1.2638791,1.1945896
1523292628321,0.45914817,-0.5284219,1.6911774
1523292628328,0.8148618,-0.9816668,2.9844952
1523292628334,0.9458182,-0.43137026,1.9836311
1523292628385,1.0230861,0.062222958,-0.737669
1523292628409,0.9701162,-0.917166,-1.1427097
1523292628414,0.7757363,-1.7406937,0.7504177
1523292628473,0.10820699,-1.3602041,1.396924
1523292628482,-0.22866577,-1.1627536,0.31679535
1523292628490,-0.4457429,-0.71186256,-1.2840481
1523292628537,-0.39958724,-0.21260142,-2.5601153
1523292628543,-0.29215455,0.3431883,-2.9050088
1523292628552,-0.17838906,0.51990914,-2.4116359
1523292628600,-0.09776351,-0.023670197,-0.8008127
1523292628604,0.03500408,-0.36710167,0.7121706
1523292628654,0.1087468,4.6491623E-4,0.7661915
1523292628660,0.124896884,0.6543813,0.16085815
1523292628737,0.0058048964,0.398947,-0.20516968
1523292628743,-0.4097361,-0.47975278,0.89704704
1523292628749,-0.14481914,-1.0414047,2.091282
1523292628798,-0.040295124,0.78303957,1.7435284
1523292628803,-0.6848731,1.0371342,0.3459692
1523292628812,-0.16846621,0.13401341,1.5303164
1523292628863,-0.8077639,-0.07832503,2.4598045
1523292628868,-0.973808,0.30636048,1.6321259
1523292628874,-0.5732228,-0.26835608,0.90740395
1523292628925,0.05301466,-1.1343039,1.8202543
1523292628942,0.31531107,-1.1027666,1.6841421
1523292629007,0.34235466,-0.80355406,0.095892906
1523292629012,0.37626964,-0.5620403,-1.8033705
1523292629020,0.4247534,-0.31989574,-2.6291046
1523292629028,0.2730038,0.03399229,-2.716486
1523292629075,0.03875959,0.5158036,-2.4977875
1523292629081,-0.16584776,0.5484867,-1.7161927
1523292629141,-0.07637629,0.123667,-1.1117764
1523292629146,-0.2952041,0.328413,-0.07987881
1523292629150,-0.4317314,0.6464269,0.25735855
1523292629186,-0.20614788,0.52765465,0.34255695
1523292629221,0.1723609,-0.41439843,1.3000736
1523292629267,0.31826663,-0.4965098,2.2393293
1523292629276,0.3950215,1.3100061,0.86739254
1523292629319,0.3890931,0.28744888,-0.12372017
1523292629328,0.863015,-1.3646754,1.8459492
1523292629379,0.98608017,-0.8768871,1.8662968
1523292629383,0.47507477,-0.10212517,0.11950207
1523292629393,0.34198815,0.50939417,-1.2533293
1523292629441,0.26050258,0.063186646,-0.91570187
1523292629445,0.050846577,-0.8083594,0.8878889
1523292629452,-0.23403613,-1.1368357,1.7574024
1523292629515,-0.27782217,-0.67780757,0.88789177
1523292629578,-0.53349113,-0.27397776,-0.670599
1523292629585,-0.62597704,-0.11174798,-2.1278133
1523292629592,-0.42753407,0.47824717,-2.6137924
1523292629596,-0.16004285,0.81158066,-2.0382466
1523292629642,-0.08699036,0.67247486,-1.0196562
1523292629646,0.02649802,0.23074746,-0.08762455
1523292629694,0.25382262,0.0013768673,0.6401596
1523292629704,0.13239312,0.5994532,0.79225445
1523292629753,0.17679787,1.0190046,0.35211754
1523292629757,0.28053653,0.06948662,0.23894787
1523292629776,0.22144055,-0.59990704,0.055454254
1523292629834,-0.44227982,1.4891357,0.9515486
1523292629839,-0.37265873,0.047784805,0.9329519
1523292629889,-0.055490255,-0.9864421,2.5947552
1523292629897,-0.5139352,0.15390396,1.5100508
1523292629901,-0.8641695,0.7460289,-0.6824198
1523292629948,-0.9812528,0.43064666,-1.1566086
1523292629957,-0.74404174,-0.6255996,0.010820389
1523292629961,-0.5678874,-1.1877638,2.0069437
1523292630008,-0.4606883,-0.9223981,1.8390808
1523292630026,-0.12199274,-0.68866324,0.21460342
1523292630085,0.21703425,-0.26822376,-1.4229898
1523292630089,0.18014885,0.22484946,-2.490664
1523292630097,0.059782207,0.7287886,-2.5865889
1523292630147,-0.16546947,0.99294066,-1.673162
1523292630151,-0.24214578,0.64071155,-0.54321957
1523292630198,-0.2777862,0.5814991,-0.51927567
1523292630201,-0.35777986,0.6620698,-0.086037636
1523292630213,-0.4339944,1.2131858,0.66539764
1523292630275,-0.15530539,0.39373064,0.6303005
1523292630285,0.5792626,-0.515723,1.7984486
1523292630359,0.59936154,1.0213776,2.2227497
1523292630364,0.6990087,0.57873774,1.6070881
1523292630371,1.3389642,-0.7007295,2.497755
1523292630375,1.3572319,-1.1099021,2.6309671
1523292630432,1.0977005,-0.025783777,0.70434475
1523292630437,0.81368995,0.7211814,-1.2794819
1523292630486,0.83797634,0.15350437,-1.7361269
1523292630490,0.56657135,-0.64203155,0.4866867
1523292630500,0.21566129,-0.7167773,1.4487104
1523292630548,0.03812194,-0.3259182,0.5425968
